Regiao;Cor_Raca;ANO;SEXO;POPULACAO_ANALFABETA
Sudeste;Negra;2008;Masculino;931.482
Sul;Branca;2008;Masculino;318.699
Sul;Negra;2008;Masculino;186.751
Centro_Oeste;Branca;2008;Masculino;111.982
Centro_Oeste;Negra;2008;Masculino;290.481
Norte;Branca;2009;Masculino;98.789
Norte;Negra;2009;Masculino;538.909
Nordeste;Branca;2009;Masculino;810.662
Nordeste;Negra;2009;Masculino;3.015.551
Sudeste;Branca;2009;Masculino;564.123
Sudeste;Negra;2009;Masculino;924.402
Sul;Branca;2009;Masculino;325.081
Sul;Negra;2009;Masculino;191.931
Centro_Oeste;Branca;2009;Masculino;115.337
Centro_Oeste;Negra;2009;Masculino;267.578
Norte;Branca;2011;Masculino;89.152
Norte;Negra;2011;Masculino;516.303
Nordeste;Branca;2011;Masculino;772.465
Nordeste;Negra;2011;Masculino;2.761.513
Sudeste;Branca;2011;Masculino;525.233
Sudeste;Negra;2011;Masculino;855.490
Sul;Branca;2011;Masculino;295.268
Sul;Negra;2011;Masculino;191.994
Centro_Oeste;Branca;2011;Masculino;100.883
Centro_Oeste;Negra;2011;Masculino;243.399
Norte;Branca;2012;Masculino;89.230
Norte;Negra;2012;Masculino;524.138
Nordeste;Branca;2012;Masculino;813.465
Nordeste;Negra;2012;Masculino;3.009.591
Sudeste;Branca;2012;Masculino;506.264
Sudeste;Negra;2012;Masculino;856.206
Sul;Branca;2012;Masculino;240.264
Sul;Negra;2012;Masculino;167.028
Centro_Oeste;Branca;2012;Masculino;106.611
Centro_Oeste;Negra;2012;Masculino;268.319
Norte;Branca;2013;Masculino;82.391
Norte;Negra;2013;Masculino;522.312
Nordeste;Branca;2013;Masculino;755.523
Nordeste;Negra;2013;Masculino;2.943.078
Sudeste;Branca;2013;Masculino;494.995
Sudeste;Negra;2013;Masculino;913.538
Sul;Branca;2013;Masculino;283.419
Sul;Negra;2013;Masculino;189.548
Centro_Oeste;Branca;2013;Masculino;96.871
Centro_Oeste;Negra;2013;Masculino;278.893
Norte;Branca;2014;Masculino;79.793
Norte;Negra;2014;Masculino;504.913
Nordeste;Branca;2014;Masculino;754.998
Nordeste;Negra;2014;Masculino;2.970.664
Sudeste;Branca;2014;Masculino;513.682
Sudeste;Negra;2014;Masculino;861.765
Sul;Branca;2014;Masculino;266.206
Sul;Negra;2014;Masculino;189.148
Centro_Oeste;Branca;2014;Masculino;96.257
Centro_Oeste;Negra;2014;Masculino;281.763
Norte;Branca;2015;Masculino;92.933
Norte;Negra;2015;Masculino;533.070
Nordeste;Branca;2015;Masculino;758.399
Nordeste;Negra;2015;Masculino;2.929.274
Sudeste;Branca;2015;Masculino;468.961
Sudeste;Negra;2015;Masculino;808.816
Sul;Branca;2015;Masculino;247.727
Sul;Negra;2015;Masculino;171.521
Centro_Oeste;Branca;2015;Masculino;97.800
Centro_Oeste;Negra;2015;Masculino;251.570
Norte;Branca;1995;FEMININO;58.111
Norte;Negra;1995;FEMININO;241.813
Nordeste;Branca;1995;FEMININO;951.893
Nordeste;Negra;1995;FEMININO;3.148.115
Sudeste;Branca;1995;FEMININO;1.333.579
Sudeste;Negra;1995;FEMININO;1.244.769
Sul;Branca;1995;FEMININO;604.342
Sul;Negra;1995;FEMININO;237.570
Centro_Oeste;Branca;1995;FEMININO;169.670
Centro_Oeste;Negra;1995;FEMININO;304.137
Norte;Branca;1996;FEMININO;64.605
Norte;Negra;1996;FEMININO;238.422
